buy_date,sell_date,address,symbol,entryPrice,exitPrice,message,token_amount_sold,usd_spent,usd_received,result_usd
16-04-2024 22:23:07,17-04-2024 10:26:47,4TECfrYNQiZb8pBwJWLLGz7GFT7ozocGo2UL93nx6YrN,Ster Wers,9.8226e-05,0.000116989,Breakeaven SL reached!!,9162.57,3.0,1.071924,0.1729
16-04-2024 20:46:57,17-04-2024 11:45:03,Derwt6jk8XzZFU4inEVRvf4212m2QADoqv4vMnMH3mhY,WALL,3.0644e-05,3.359e-05,Breakeaven SL reached!!,39159.7,4.0,1.31538,0.12
16-04-2024 16:12:59,17-04-2024 12:59:59,BSXvX9dMvedcXUvwUQ5pzYJb9G8bBXKtddQns4oAxgEo,$MOONDELA,0.000057886,0.000066896,Breakeaven SL reached!!,5441.74,3,0.364033,0.05
17-04-2024 07:39:11,17-04-2024 14:06:22,4V7Q9DKoeHKXYjMAiU4sZE13LpDdRM4o55UpQB4MEmmh,HBTC,0.000025759,0.000044057,TP 1 Reached!!,67936.60,2.5,2.9931,1.24
17-04-2024 07:39:11,17-04-2024 14:13:48,4V7Q9DKoeHKXYjMAiU4sZE13LpDdRM4o55UpQB4MEmmh,HBTC,0.000025759,0.000074890,TP 2 Reached!!,18925.20,2.5,1.41731,0.93
17-04-2024 07:18:17,17-04-2024 14:53:58,AXyYKWZAziPo3q9YavcdWLU6kSMRNMJAj51acu1yzc9t,POGE,0.000026427,0.000045921,TP 1 Reached!!,66220.17,2.5,3.040884,1.29
17-04-2024 10:08:14,17-04-2024 15:39:03,2Zaq3WyDJj2ZkMcuqUiTBfAXCjqZtqihxcwUdwv9dyHA,PEPE,0.000080982,0.000056166,-25% SL reached!!,43219.66,3.5,2.427455,-1.07
17-04-2024 13:26:01,17-04-2024 15:55:47,8Tmwp13JhsnBwMxwVNAzVPaGjZFrZrBcQqo7GBEB2Ffq,REBBUL,0.000080158,0.000056595,-25% SL reached!!,37426.17,3,2.118146,-0.88
16-04-2024 13:02:13,17-04-2024 16:13:18,8pTHFvez9ojrhENxHdvWhvY9fEAJmJj5xQx5N9AJofQA,MOONWIF,0.000046387,0.000035872,-25% SL reached!!,43115.32,2,1.546613,-0.45
17-04-2024 09:56:26,17-04-2024 16:23:04,pz8KjM9AHRu8MvjEbxHjZ6RwxQjTgxvTtRsaQtCUyQf,FUX,0.000070416,0.000123618,TP 1 Reached!!,34793.10,3.5,4.301046,1.85
17-04-2024 09:56:26,17-04-2024 16:34:02,pz8KjM9AHRu8MvjEbxHjZ6RwxQjTgxvTtRsaQtCUyQf,FUX,0.000070416,0.000171895,TP 2 Reached!!,9692.36,3.5,1.666065,0.98
16-04-2024 22:08:41,17-04-2024 18:00:59,6aVBPVpVN6BkHKXJtvfmd5q9yHVPSZX51NVCLyebKGNm,POGE,0.000224548,0.000568885,TP 2 Reached!!,3416.94,3,1.943845,1.18
16-04-2024 18:56:02,17-04-2024 18:57:06,CNadvoKbKD8Bb839LghAo4uzynMTKFC87fP6hcGEdDfQ,JACKED,0.000045517,0.000033188,-25% SL reached!!,70476.48,4,2.338981,-1.66
17-04-2024 09:56:26,17-04-2024 19:26:35,pz8KjM9AHRu8MvjEbxHjZ6RwxQjTgxvTtRsaQtCUyQf,FUX,0.000070416,0.000318896,TP 3 Reached!!,5218.96,3.5,1.664303,1.30
16-04-2024 22:08:41,17-04-2024 19:46:33,6aVBPVpVN6BkHKXJtvfmd5q9yHVPSZX51NVCLyebKGNm,POGE,0.000224548,0.000238425,Breakeaven SL reached!!,1839.89,3,0.438675,0.03
17-04-2024 05:42:51,17-04-2024 20:03:23,iNVENTNoEpm4LZx5HYnrbP1zHJcJfeaUh8uoHQtMshN,INVENT,0.000004529,0.000008709,TP 1 Reached!!,386420.03,2.5,3.36542,1.62
17-04-2024 03:04:51,17-04-2024 20:30:11,76qFyKWwR3gtLjf9pYhw6mVdyJqHwSTEruh3awHGCfDx,RFKJR,0.000020440,0.000037221,TP 1 Reached!!,85616.04,2.5,3.186755,1.44
17-04-2024 03:04:51,17-04-2024 20:33:54,76qFyKWwR3gtLjf9pYhw6mVdyJqHwSTEruh3awHGCfDx,RFKJR,0.000020440,0.000053083,TP 2 Reached!!,23850.18,2.5,1.26604,0.78
17-04-2024 18:44:51,17-04-2024 21:32:04,HYWB4HkyfDSA1i4t4cQaK9cvLHG4nQBRzGX9tzmEmgDr,JURDEN,0.000095209,0.000075729,-25% SL reached!!,31509.62,3,2.386185,-0.61
16-04-2024 14:30:32,17-04-2024 22:41:07,39fVXXLYCGh9G4aTHvMoDhWo7yc1sSiUHv47SLoBobkw,GANJA,0.000053707,0.000129553,TP 2 Reached!!,22941.90,3,2.972187,1.74
17-04-2024 03:00:42,17-04-2024 23:08:25,9Ji8ukZVRLGckAT3MWbt1BVXMp42f8EmASsD9RwoXDFX,HUSH,0.000461749,0.000275624,-25% SL reached!!,4911.86,2.5,1.353826,-1.15
16-04-2024 21:28:39,17-04-2024 23:44:32,GerRJ4R3NZj1HK7g1am4KfBeWfnj9CM8PwRSxjtNwBFT,Weed,0.000218467,0.000136344,-25% SL reached!!,17603.22,3,2.400096,-0.60
17-04-2024 03:04:51,18-04-2024 00:14:25,76qFyKWwR3gtLjf9pYhw6mVdyJqHwSTEruh3awHGCfDx,RFKJR,0.000020440,0.000097942,TP 3 Reached!!,12842.41,2.5,1.257817,1.00
17-04-2024 13:54:04,18-04-2024 01:53:10,8TkW3qJckBmg87JxUVjRuEWkhVJqFJ5LgsWai2uCUgMR,SHITOSHI,0.002419552,0.001786685,-25% SL reached!!,1239.90,3,2.215311,-0.78
17-04-2024 07:18:17,18-04-2024 03:20:58,AXyYKWZAziPo3q9YavcdWLU6kSMRNMJAj51acu1yzc9t,POGE,0.000026427,0.000064794,TP 2 Reached!!,18447.05,2.5,1.195253,0.71
16-04-2024 16:16:07,18-04-2024 04:33:37,57E9L2tcMxnnkaG1brwTJA4QhAE8rmpxs8SK2BNTHCDN,tinabu,0.000038333,0.000044199,Breakeaven SL reached!!,8217.45,3,0.363204,0.05
18-04-2024 05:01:25,18-04-2024 05:25:12,9Ji8ukZVRLGckAT3MWbt1BVXMp42f8EmASsD9RwoXDFX,HUSH,0.000528782,0.000912644,TP 1 Reached!!,2647.59,2,2.416307,1.02
18-04-2024 05:01:25,18-04-2024 05:40:10,9Ji8ukZVRLGckAT3MWbt1BVXMp42f8EmASsD9RwoXDFX,HUSH,0.000528782,0.000578941,Breakeaven SL reached!!,1134.68,2,0.656913,0.06
18-04-2024 07:13:22,18-04-2024 08:23:17,GWJ5LevQMhRS5fftThW1UYvAdGqesG8rGtEpihVfgw7M,SOLDEX,0.000065099,0.000046804,-25% SL reached!!,30722.33,2,1.43794,-0.56
18-04-2024 03:05:42,18-04-2024 09:59:22,9geKuxH4jZtuDny55vRauG8gZNt6y4s7anKhTewUjM9B,PUMPM,0.000119342,0.000201719,TP 1 Reached!!,11730.96,2,2.366361,0.97
18-04-2024 05:12:12,18-04-2024 11:16:39,CYVZRsBqxgMFFVf8EqXCVRxS6SuT26M54KPqtF5vhwJd,420BTC,0.000067366,0.000122878,TP 1 Reached!!,20782.03,2,2.553658,1.15
18-04-2024 05:12:12,18-04-2024 12:39:14,CYVZRsBqxgMFFVf8EqXCVRxS6SuT26M54KPqtF5vhwJd,420BTC,0.000067366,0.000074964,Breakeaven SL reached!!,8906.58,2,0.66767,0.07
18-04-2024 13:15:54,18-04-2024 13:25:47,8zJgr3VqnTfTRyQzf2RoJEU7Qaz7zESwEA2VPKRCznwy,DIDDY,0.001668605,0.003402805,TP 1 Reached!!,1258.54,3,4.282566,2.18
18-04-2024 13:15:54,18-04-2024 13:27:56,8zJgr3VqnTfTRyQzf2RoJEU7Qaz7zESwEA2VPKRCznwy,DIDDY,0.001668605,0.002214426,Breakeaven SL reached!!,539.37,3,1.194395,0.29
18-04-2024 03:05:42,18-04-2024 13:39:59,9geKuxH4jZtuDny55vRauG8gZNt6y4s7anKhTewUjM9B,PUMPM,0.000119342,0.000138856,Breakeaven SL reached!!,5027.55,2,0.698103,0.10
18-04-2024 13:05:47,18-04-2024 13:56:06,42VBTDfc4wLiPRPwZmLjUgmXKCyUysntSAZ8rnuxCKkL,LV,0.000032825,0.000023490,-25% SL reached!!,91393.65,3,2.146879,-0.85
17-04-2024 18:59:28,18-04-2024 14:38:15,ChanM2vka4gJ3ob1SejJXnxoNuoAXGGJxDMJRSLD7nzW,SOLCHAN,0.000451191,0.000307060,-25% SL reached!!,6649.07,3,2.041663,-0.96
18-04-2024 05:12:12,18-04-2024 14:45:13,CYVZRsBqxgMFFVf8EqXCVRxS6SuT26M54KPqtF5vhwJd,420BTC,0.000067366,0.000121443,TP 1 Reached!!,20566.25,2,2.497622,1.11
18-04-2024 11:28:30,18-04-2024 14:48:23,2pAFnY2Sp6d3kPCm684LuMf7CHakpCo2TQsNa4iXxjPQ,LAMBOW,0.000055038,0.000095371,TP 1 Reached!!,38155.28,3,3.638921,1.54
16-04-2024 12:50:31,18-04-2024 15:09:19,97oWtQfbZMdDbn1jdNciDHm2vnPBR8VT3Ns7vSS7i9cm,$PITALIK,0.000050367,0.000230678,TP 3 Reached!!,4169.42,2,0.961795,0.75
